Id,Title,Body
73,Where can I find simple beta cdf implementation,"<p>I need to use <a href=""http://en.wikipedia.org/wiki/Beta_distribution"" rel=""nofollow"">beta distribution</a> and inverse beta distribution in my project. </p>

<p>There is quite good but complicated implementation <a href=""http://www.gnu.org/software/gsl/manual/html_node/The-Beta-Distribution.html"" rel=""nofollow"">in GSL</a>, but I don't want to use such a big library only to get one function.</p>

<p>I would like to either, implement it on my own or link some simple library. Do you know any sources that could help me? I'm looking for any books/articles about numerical approximation of beta CDF <strong>and its inverse</strong>, libraries where it could be implemented. Any other suggestions would be also appreciated.<br>
Any programming language, but C++/C# preffered.</p>
"
74,R: how to subset list based on condition?,"<p>How can I subset a list based on a condition (TRUE, FALSE) in another list? Please, see my example below</p>

<pre><code>&gt; (l &lt;- list(a=c(1,2,3), b=c(4,5,6,5), c=c(3,4,5,6)))
$a
[1] 1 2 3

$b
[1] 4 5 6 5

$c
[1] 3 4 5 6

&gt; (cond &lt;- lapply(l, function(x) length(x) &gt; 3))
$a
[1] FALSE

$b
[1] TRUE

$c
[1] TRUE

&gt; l[cond]
Error in l[cond] : invalid subscript type 'list'
</code></pre>
"
75,Determine the centroid of multiple points,"<p>I'm writing a mapping application that I am writing in python and I need to get the lat/lon centroid of N points.
Say I have two locations</p>

<pre><code>a.lat = 101
a.lon = 230

b.lat = 146
b.lon = 200
</code></pre>

<p>Getting the center of two points is fairly easy using a euclidean formula. I would like 
to be able to do it for more then two points.</p>

<p>Fundamentally I'm looking to do something like <a href=""http://a.placebetween.us/"" rel=""nofollow"">http://a.placebetween.us/</a> where one can enter multiple addresses and find a the spot that is equidistant for everyone.</p>
"
76,Efficient way of resolving unknown words to known words?,"<p>I am designing a text processing program that will generate a list of keywords from a long itemized text document, and combine entries for words that are similar in meaning. There are metrics out there, however I have a new issue of dealing with words that are not in the dictionary that I am using. </p>

<p>I am currently using nltk and python, but my issues here are of a much more abstracted nature. Given a word that is not in a dictionary, what would be an efficient way of resolving it to a word that is within your dictionary? My only current solution involves running through the words in the dictionary and picking the word with the shortest Levenshtein distance (editing distance) from the inputted word.</p>

<p>Obviously this is a very slow and impractical method, and I don't actually need the absolute best match from within the dictionary, just so long as it is a contained word and it is pretty close. Efficiency is more important for me in the solution, but a basic level of accuracy would also be needed. </p>

<p>Any ideas on how to generally resolve some unknown word to a known one in a dictionary? </p>
"
77,condition on non-commutative Khinchine inequality,"<p>Let $\epsilon=(\epsilon_1,\ldots \epsilon_M)$ be Rademacher sequence. And let $B_j, j=1, \ldots, M$ be complex valued random matrices of the same dimension. Choose $n\in \mathbb{N}$. Then, the non-commutative Khinchine inequality states that
$$
E(\|\sum_{j=1}^M\epsilon_jB_j\|^{2n}_{S_{2n}})\leq \frac{(2n)!}{2^nn!}\max\{\|(\sum_{j=1}^MB_jB^*_j)^{1/2}\|^{2n}_{S_{2n}}, \|(\sum_{j=1}^MB^*_jB_j)^{1/2}\|^{2n}_{S_{2n}}\},
$$
where $\|\cdot\|_{S_{2n}}$ is a <a href=""http://en.wikipedia.org/wiki/Schatten_norm"" rel=""nofollow"">Schatten norm</a>, and $B_jB^*_j$ together with $B_j^*B_j$ are positive self-adjoint matrices.</p>

<p>I am curious, if this is a critical condition for Rademacher random variables $\epsilon_j, j=1, \ldots, M$ been independent. I mean, would it make science if one can consider some dependence between $\epsilon_j$, say sum of them is equal to 1.</p>

<p>Thank you.</p>
"
78,Convert list in tuple to numpy array?,"<p>I have tuple of lists. One of these lists is a list of scores. I want to convert the list of scores to a numpy array to take advantage of the pre-built stats that scipy provides.</p>

<p>In this case the tuple is called 'data'</p>

<pre><code>In [12]: type data[2]
-------&gt; type(data[2])
Out[12]: &lt;type 'list'&gt;

In [13]: type data[2][1]
-------&gt; type(data[2][1])
Out[13]: &lt;type 'list'&gt;

In [14]: type data[2][1][1]
-------&gt; type(data[2][1][1])
Out[14]: &lt;type 'float'&gt;

In [15]: print data[2][1]
-------&gt; print(data[2][1])
[16.66, 16.66, 16.66, 16.66, 5.5599999999999996, 16.699999999999999]

In [16]: print data[2][1][1]
-------&gt; print(data[2][1][1])
16.66
</code></pre>

<p>Can I do this easily once I have stored the tuple? </p>
"
79,how do i convert speed and bearing to azimuth and elevation in c#?,"<p>i have no clue to it. can someone help me out?</p>
"
80,Smoothing of data with unequal number of observations for plotting?,"<p>I have two data-frame with unequal number of rows.  But i need to smooth the data in both the data frames and plot them together.  I can smooth each dataframe with lowess/loess.  However, when i try to plot the lines for both the data-frames together, i usually get error ""unequal number of rows"".  I found a way around this by using <code>spline</code>.  I want to know if the following would be valid:</p>

<pre><code>tmp1 &lt;- spline( lowess( df1[,1], df[,2] ), n = 20 )
tmp2 &lt;- spline( lowess( df2[,1], df2[,2] ), n = 20 )

plot( tmp1[,1], tmp1[,2], type=""l"" )
lines( tmp2[,1], tmp2[,2], col=""red"" )
</code></pre>

<p>I want to know whether it is ""statistically"" valid to plot spline of a <code>lowess</code> object its its representation, because I want to limit number of data-points.  This is specifically for case where the <code>lowess</code> on to different series contain unequal number of points?</p>
"
81,How do I create a column containing aggregated means with R?,"<p>In R, I have a bunch of data in a dataframe like:</p>

<pre><code>state | zip   | value
______|_______|______
CA    | 94555 | 18
CA    | 94556 | 5
OH    | 12345 | 22
OH    | 12346 | 10
</code></pre>

<p>and so on.</p>

<p>I want an add a column to each row listing the mean 'value' for that state.</p>

<p>I can get a dataframe of the means via ""<code>(aggregate(data$value, list(State = data$state), mean))</code>"". That gives me a dataframe with 50 rows, one for each state. But I need to then go back into the original dataframe and put the state's average in rows belonging to that state.</p>

<p>How would I go about doing this?</p>
"
82,Need recommendation on SP statistical tool,"<p>looking for recommendation on SP Stats tool. I found following but I know for sure you guys seen this one and others and Looking for your feedback.</p>

<p>spstats ?
<a href=""http://www.avepoint.com/sharepoint-reporting-docave/?gclid=CP6m6tO9iawCFcTD7QodPH1Znw"" rel=""nofollow"">http://www.avepoint.com/sharepoint-reporting-docave/?gclid=CP6m6tO9iawCFcTD7QodPH1Znw</a> ?</p>

<p>who else?</p>
"
83,Concatenate lists with same .names,"<p>I have lists v1 and v2 with the same names:</p>

<pre><code>v1: structure(list(ID = c(""A1""), Name = c(""A2""),.Names = c(""ID"", ""Name"") 
    ...
v2: structure(list(ID = c(""B1""), Name = c(""B2""),.Names = c(""ID"", ""Name"") 
</code></pre>

<p>I want to concatenate the lists, while keeping the names, i.e. to get something like:</p>

<pre><code>v12:  structure(list(ID = c(""A1"",""B1""), Name = c(""A2"",""B2""), 
.Names = c(""ID"", ""Name"")
</code></pre>

<p>Manual concatenation works:</p>

<pre><code>v12&lt;-cbind(Map(c, v1, v2))
</code></pre>

<p>But, if v1 and v2 are results of applying lapply(), and are stored in a list themselves, the similar logic does not seem to work:</p>

<pre><code>v&lt;-lapply(...)
v12&lt;-cbind(Map(c,v))
</code></pre>

<p>What is the best way to automate the process? For example:</p>

<pre><code>v1 &lt;- structure(list(ID = c(""A1""), Name = c(""A2"")),.Names = c(""ID"", ""Name""))             
v2 &lt;-  structure(list(ID = c(""B1""), Name = c(""B2"")),.Names = c(""ID"", ""Name""))
v &lt;- list(v1, v2)
k&lt;-t(mapply(c, v))
</code></pre>

<p>results in:</p>

<pre><code>ID  Name
A1  A2
B1  B2
</code></pre>

<p>not in:</p>

<pre><code>  ID    Name
""A1"",""B1""   ""A2"",""B2""
</code></pre>
"
84,Redefine class of an object in R,"<p>My object has the class ""character"". g.g.</p>

<pre><code>x &lt;- rep(TRUE,4)
x &lt;- replace(x,3,FALSE)
</code></pre>

<p>I now would like to coerce/transform this into a being a <em>logical</em> class. How do I change the class of x? </p>
"
85,Neural nets as universal approximators,"<p>The formal statement of <a href=""http://en.wikipedia.org/wiki/Universal_approximation_theorem"" rel=""nofollow"">universal approximation theorem</a> states that neural nets with single hidden layer can approximate any function which is continuous on m-dimensional unit hypercube.
But how about functions which are not continuous, is anything known about whether they can be always approximated by neural nets?</p>

<p>For example take a function which calculates n'th digit of number pi. 
If I train some single hidden layer neural net on this data: (n, n'th digit of pi), will it be eventually able to return correct values for unseen n's?
How about multiple hidden layers neural nets?</p>
"
86,Quantify a change of direction given an array of 3d points,"<p>I am working on a piece of software written in Java that uses some processing.core library classes and simpleopenni to track a user's hand with the XBOX Kinect.</p>

<p>What I am trying to figure out is how to determine when a user's hand movement changes direction abruptly. </p>

<p>What I have at my disposal currently is an array of PVectors (essentially a vector of x,y,and z coordinates: <strong>A point in 3d space</strong>) that record the user's hand position for the past 30 frames or so.</p>

<p>I imagine that there must be a way to obtain a value that represents the amount of directional change in nearly real-time given the most recent few points recorded. Maybe fit a curve and take some derivatives?</p>

<p>Ideally the solution should not be very computationally expensive, as I am trying to implement a real-time worthy solution.</p>

<p>Any direction that you can offer will be greatly appreciated!</p>
"
87,Why is length of a group variable always 1 in data.table grouping?,"<p>I know this can be achieve with other packages, but I'm trying to do it in data.table (as it seems to be the fastest for grouping).</p>

<pre><code>library(data.table)
dt = data.table(a=c(1,2,2,3))
dt[,length(a),by=a]
</code></pre>

<p>results in</p>

<pre><code>   a V1
1: 1  1
2: 2  1
3: 3  1
</code></pre>

<p>whereas</p>

<pre><code>df = data.frame(a=c(1,2,2,3))
ddply(df,.(a),summarise,V1=length(a))
</code></pre>

<p>produces</p>

<pre><code>  a V1
1 1  1
2 2  2
3 3  1
</code></pre>

<p>which is a more sensible results. Just wondering why data.table is not giving the same results, and how this can be achieved.</p>

<p>thanks</p>
"
88,Conditional row removal based on number of NA's within the row,"<p>I am looking to remove rows from my dataset based on 2 conditions as follows:</p>

<ol>
<li>remove row if 3 consecutive cells are ""NA""
or</li>
<li>if 4 or more cells are ""NA"" </li>
</ol>

<p>My sample data: </p>

<pre><code>data &lt;- rbind(c(1,1,2,3,4,2,3,2),
              c(NA,1, NA, 4,1,1,NA,2), 
              c(1,4,6,7,3,1,2,2), 
              c(NA,3, NA, 1,NA,2,NA,NA), 
              c(1,4, NA, NA,NA,4,3,2))
</code></pre>

<p>I have researched within the existing questions and found that na.omit or complete.cases can remove rows with NA but as I have conditions, doing further research I have found the following code within the existing questions:</p>

<pre><code>data[! rowSums(is.na(data)) &gt;4  , ]   
data[! rowSums(is.na(data)) ==3  , ]
</code></pre>

<p>The first line full fill my second condition. the second line does remove rows with 3 NA's but not looking for consecutive and removing any rows with total 3 NA's. for example:</p>

<pre><code>&gt; data
     [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8]
[1,]    1    1    2    3    4    2    3    2
[2,]   NA    1   NA    4    1    1   NA    2
[3,]    1    4    6    7    3    1    2    2
[4,]   NA    3   NA    1   NA    2   NA   NA
[5,]    1    4   NA   NA   NA    4    3    2

&gt; data[! rowSums(is.na(data)) ==3  , ]
     [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8]
[1,]    1    1    2    3    4    2    3    2
[2,]    1    4    6    7    3    1    2    2
[3,]   NA    3   NA    1   NA    2   NA   NA
</code></pre>

<p>What I actually want is the 5th row to be removed only as this has 3 consecutive NA's and not the 2nd row.</p>

<p>Could anyone please advice me how can I overcome this?   </p>
"
89,Calculating a point on an ellipse,"<p>Say I have two points A and B positioned on the circumference of an ellipse, and they form an angle X from the center point.  Now say that point A is moved to a new point C.  How can I calculate the new point for B such that the angle X remains constant?  Pointers to code of some kind would be appreciated.</p>
"
90,How to drop decimal precision when writing a zoo object to csv file with R?,"<p>When writing out a zoo object to a CSV file using write.zoo(), I would actually like to drop decimal precision from the default of 14 to just 3. However, even with setting scipen &amp; digits in options(), I have not been able to drop the precision in output.</p>

<p>Here is a sample code to illustrate the issue.</p>

<pre><code>blah &lt;- zoo(cbind(c(1.590833333333335, NA), c(NA, 21.590833333333337)))
index(blah) &lt;- c(""Dec 1985"", ""Dec 1986"")
colnames(blah) &lt;- c(""FooHeader"", ""BarHeader"")
options(scipen = 3, digits = 3)
write.zoo(blah, file = ""blah.csv"", sep = "","")
</code></pre>

<p>If I open the <code>blah.csv</code> file, I see</p>

<pre><code>""Index"",""FooHeader"",""BarHeader""
""Dec 1985"",1.59083333333334,NA
""Dec 1986"",NA,21.5908333333333
</code></pre>

<p>But what I would really want to see is</p>

<pre><code>""Index"",""FooHeader"",""BarHeader""
""Dec 1985"",1.591,NA
""Dec 1986"",NA,21.591
</code></pre>

<p>How do I go about making this happen? Thanks a bunch in advance!</p>

<p>Note: I am aware that by dropping the precision, if I read the data into the R again, I would still lose the precision. That's fine. I can live with that.</p>
"
91,Pythonic way to populate numpy array,"<p>I find myself parsing lots of data files (usually in a .csv file or similar) using the csv reader and a for loop to iterate over every line. The data is usually a table of floats so for example.</p>

<pre><code>reader = csv.reader(open('somefile.csv'))
header = reader.next()

res_list = [list() for i in header]    

for line in reader:
  for i in range(len(line)):
    res_list[i].append(float(line[i]))

result_dict = dict(zip(header,res_list)) #so we can refer by column title
</code></pre>

<p>This is a ok way to populate so I get each column as a separate list however, I would prefer that the default data container for lists of items (and nested lists) be numpy arrays, since 99 times out 100 the numbers get pumped into various processing scripts/functions and having the power of numpy lists makes my life easier. </p>

<p>The numpy <code>append(arr, item)</code> doesn't append in-place and therefore would require re-creating arrays for every point in the table (which is slow and unneccesary). I could also iterate over the list of data-columns and wrap them into an array after I'm done (which is what I've been doing), but sometimes it isn't so clear cut about <em>when</em> I'm done parsing the file and may need to append stuff to the list later down the line anyway.</p>

<p>I was wondering if there is some less-boiler-heavy way (to use the overused phrase ""pythonic"") to process tables of data in a similar way, or to populate arrays (where the underlying container is a list) dynamically and without copying arrays all the time.</p>

<p>(On another note: its kind of annoying that in general people use columns to organize data but <code>csv</code> reads in rows if the reader incorporated a read_column argument (yes, I know it wouldn't be super efficient), I think many people would avoid having boiler plate code like the above to parse a csv data file. )</p>
"
92,How do i make a Histogram spanning multiple files?,"<p>i want to make a histogram spanning multiple files in a Folder. 
Example:</p>

<p>File 1:  </p>

<pre><code>Alpha
Beta 
Ceta  
Delta
</code></pre>

<p>File 2:</p>

<pre><code>Delta 
Ceta 
Alpha
</code></pre>

<p>File 3: </p>

<pre><code>Beta 
Delta
</code></pre>

<p>I know that i can create a histogram using Numpy with: 
<code>axHistx = plt.axes(range)</code></p>

<p>How can i use this to create a histogram over multiple files, that gives me the absolute number of Occurrences of the Strings?</p>
"
93,R skips lines from /dev/stdin,"<p>I have a file with a list of numbers (make it for yourself: <code>for x in $(seq 10000); do echo $x; done &gt; file</code>).</p>

<pre><code>$&gt; R -q -e ""x &lt;- read.csv('file', header=F); summary(x);""

&gt; x &lt;- read.csv('file', header=F); summary(x);
       V1       
 Min.   :    1  
 1st Qu.: 2501  
 Median : 5000  
 Mean   : 5000  
 3rd Qu.: 7500  
 Max.   :10000  
</code></pre>

<p>Now, one might expect <code>cat</code>ing the file and reading from <code>/dev/stdin</code> to have the same output, but it does not:</p>

<pre><code>$&gt; cat file | R -q -e ""x &lt;- read.csv('/dev/stdin', header=F); summary(x);""
&gt; x &lt;- read.csv('/dev/stdin', header=F); summary(x);
       V1       
 Min.   :    1  
 1st Qu.: 3281  
 Median : 5520  
 Mean   : 5520  
 3rd Qu.: 7760  
 Max.   :10000 
</code></pre>

<p>Using <code>table(x)</code> shows that a bunch of lines were skipped:</p>

<pre><code>    1  1042  1043  1044  1045  1046  1047  1048  1049  1050  1051  1052  1053 
    1     1     1     1     1     1     1     1     1     1     1     1     1 
 1054  1055  1056  1057  1058  1059  1060  1061  1062  1063  1064  1065  1066 
    1     1     1     1     1     1     1     1     1     1     1     1     1
 ...
</code></pre>

<p>It looks like R is doing something funny with <code>stdin</code>, as this Python will properly print all the lines in the file:</p>

<pre><code>cat file | python -c 'with open(""/dev/stdin"") as f: print f.read()'
</code></pre>

<hr>

<p><a href=""http://stackoverflow.com/questions/8568968/r-programming-read-csv-skips-lines-unexpectedly"">This question</a> seems related, but it is more about skipping lines in a malformed CSV file, whereas my input is just a list of numbers.</p>
"
94,Order Statistic Expectation / Probability,"<p>Let $Y_1&lt;Y_2$ be order statistics from a random sample of size $2$ from a normal distribution, $\mathcal{N}(\mu,\sigma^2)$, where $\sigma^2$ is known. Show that $P(Y_1&lt;\mu&lt;Y_2)=\frac12$ and find $E(Y_1-Y_2)$. </p>

<p>I am not exactly sure how to solve the question above. Any help would be appreciated. Thanks.</p>
"
95,R grep for a-Z except e-,"<p>I have a <code>data.frame</code> with let's say 5 columns and 30 rows. I iterate over each column and use the <code>grep</code> function to identify rows that are not numeric by looking for letters a-Z. I did quite some tests and it seemed to work fine. However, I just had a case where a number was 0.0000000009 which was translated by R to 9e-10. This row/number was identified by grep as being not numeric even though it is, apparently, a number. My question is now, how can I grep for letters a-Z but exclude the pattern ""e-""? Here's my R code:</p>

<pre><code>for(i in 1:ncol(m)) {

    if(length(grep(""[a-zA-Z]"", m[,1])) &gt; 0) { # do something...}

}
</code></pre>
"
96,"JQuery, load, parse, sum and display from external page","<p>I'm trying to load an external page which contains 1 table like this:</p>

<pre><code>&lt;table id=""uniquedatatable""&gt;
 &lt;tr class=""row""&gt; 
  &lt;td class=""num col""&gt;&lt;a&gt; 1 &lt;/a&gt;&lt;/td&gt;
  &lt;td class=""str col""&gt;&lt;a&gt;Text&lt;/a&gt;&lt;/td&gt;
  &lt;td class=""num col""&gt;&lt;a&gt;  7&lt;/a&gt;&lt;/td&gt;
  &lt;td class=""str col""&gt;&lt;a&gt;Text&lt;/a&gt;&lt;/td&gt;
 &lt;/tr&gt;
&lt;/table&gt;
</code></pre>

<p>*Notice the whitespace's in the class names of the td's and around the numbers (1,7).</p>

<p>I need to find all cell's (td's) with class ""num col"", get the numeric value between the a tag'a and sum all the values. Last I need to display this value on my own page.</p>

<p>So the result I would get from the above table should be: 1 + 7 = 8.</p>

<p>I've gotten this far:</p>

<pre><code> &lt;script src=""http://code.jquery.com/jquery-1.5.1.min.js"" type=""text/javascript""&gt;&lt;/script&gt;

 &lt;p id=""result""&gt;&lt;/p&gt;

 &lt;script type=""text/javascript""&gt;
   var url = ""http://someurl"";
   var sum = 0;

   $('#result').load('url #uniquedatatable tr td.num col a', function() {
     sum += Number($(this).text());
   });

   _gel('result').innerHTML = sum;
 &lt;/script&gt;
</code></pre>

<p>Realizing something is wrong (close to being correct I hope :)), I need help connecting the ""dots"" here so that I can:</p>

<ol>
<li><p>Calculate the sum (this is the ""big"" problem :S)</p></li>
<li><p>Write the result back. </p></li>
</ol>

<p>Any help is appreciated :).</p>

<p>Kind regards</p>
"
97,"Given enough DNA samples, would it be possible to reconstruct the entire genealogy tree of humanity?","<p>DNA samples of live individuals. </p>

<p>It would be more of a mesh/graph than a tree but you get what I mean. I guess we could only have access to potential graphs with varying degrees of probability. In this case, what would be the figures like? What would be the probability of getting the nth level right? Also, we don't care about dead branches (eg. your childless great uncle)</p>

<p>To be honest I don't know if I'm posting this in the right StackExchange.</p>
"
98,Need code for extracting useable data from IMDB text files with R,"<p>Does anyone have any code handy that extracts data from the downloadable imdb text files and transposes them into a more useable format? The text files are not in an immediately useable format and are somewhat problematic to convert. For example, the business.list file looks like this for each movie, a sort of multiple tags (different tags and number of each tag) for each moive (some with less tags, some with more tags). </p>

<p>I am looking for a way to change these files into a data frame.</p>

<hr>

<p>MV: The Clearing (2004)</p>

<p>GR: USD 5,763,875 (USA) (10 October 2004) 
GR: USD 5,761,124 (USA) (3 October 2004) 
</p>

<p>OW: USD 618,674 (USA) (4 July 2004) (56 screens) 
</p>

<p>SD: 23 September 2002 - November 2002 </p>

<p>WG: USD 1,350 (USA) (10 October 2004) (2 screens) 
</p>

<hr>

<p>More information is here: <a href=""http://www.imdb.com/interfaces"" rel=""nofollow"">http://www.imdb.com/interfaces</a></p>

<p>In the mean time, I am going to poke around with some of the other interfaces such as the text unix one.</p>
"
99,Is there a way to use SVM to build a model that contains a pre-defined percentage of the training data?,"<p>Say, I wish to use LIBSVM to build a model that contains 70% of the training data. Is that possible?</p>
"
100,Finding $E(|X_1|\ |\max |X_i| )$,"<p>Suppose $X_1,\ldots,X_n$ are a random sample of $U(-\theta,\theta)$ with $\theta&gt;0$. How can find
$$
E\left(|X_1|\ \big|\max |X_i| \right)
$$ that $1\leq i\leq n$?</p>
"
101,R: Rolling rank of multivariate time series?,"<p>I want to rank a set of variables every day (starting with a <code>zoo</code> series).  </p>

<p>Here's an example:</p>

<pre><code>set.seed(1)
x &lt;- zoo(matrix(rnorm(9), nrow=3), as.Date(""2010-01-01"") + 0:2)
colnames(x) &lt;- letters[1:3]
</code></pre>

<p>The only way I know to do this is with <code>rollapply</code>, but this is quite slow.  </p>

<pre><code>&gt;  rollapply(x, 1, rank, by.column=FALSE)
           a b c
2010-01-01 1 3 2
2010-01-02 1 2 3
2010-01-03 1 2 3
</code></pre>

<p>Any other suggestions?</p>
"
102,Standard error of the mean for root mean square of data,"<p>If I have a distribution of data, X, representing N samples taken during one measurement, then the mean square of X is $\bar{X^2} = \langle X^2 \rangle$, the variance of $X^2$, $\mathrm{var}(X^2)$ is $\langle\langle X^4 \rangle - \langle X^2 \rangle \rangle$, and the standard error of the mean square is $\sqrt{\frac{\mathrm{var}(X^2)}{N}}$.</p>

<p>Thus, the standard error of the mean square represents one standard deviation of the distribution that would be produced by repeating the measurement (taking N samples each time), assuming that $X^2$ is normally distributed with the variance of the original measurement.</p>

<p>What is the standard error of the quantity $\sqrt{\langle X^2 \rangle}$ (the standard error of the root mean square?)?</p>

<p>A rephrasing:  assume Y is normally distributed with mean $\mu$ and variance $\sigma^2$.  Define Z = $\sqrt{\frac{1}{N}\sum_1^N Y_i}$ What is the variance of Z?</p>
"
103,Saving a list of plots by their names(),"<p>Let's say I have a list of plots that I've created. </p>

<pre><code>library(ggplot2)
plots &lt;- list()
plots$a &lt;- ggplot(cars, aes(speed, dist)) + geom_point()
plots$b &lt;- ggplot(cars, aes(speed)) + geom_histogram()
plots$c &lt;- ggplot(cars, aes(dist)) + geom_histogram()
</code></pre>

<p>Now, I would like to save all of these, labelling each with their respective names(plots) element. </p>

<pre><code>lapply(plots, 
       function(x) { 
         ggsave(filename=paste(...,"".jpeg"",sep=""""), plot=x)
         dev.off()
         }
       )
</code></pre>

<p>What would I replace ""..."" with such that in my working directory the plots were saved as: </p>

<pre><code>a.jpeg
b.jpeg
c.jpeg
</code></pre>
"
104,Grouping variable using if statement in R,"<p>I would like to do a simple if statement to group codes into groups.  The variable has number codes and I would like to create a new variable that groups several number codes together.  I have written the following if statement but because they are many code numbers (30 codes), I need help writing a more elegant code to group the variable rather than writing 30+ if statements.</p>

<pre><code>Data2$RevisedSIC.Group &lt;-c()
for (i in 1:length(Data2$SIC.Group )) {
if (Data2$SIC.Group[i] ==""10110"") Data2$RevisedSIC.Group [i]=""Metal"" else 
if (Data2$SIC.Group[i] ==""10410"") Data2$RevisedSIC.Group [i]=""Metal"" else
if (Data2$SIC.Group[i] ==""10439"") Data2$RevisedSIC.Group [i]=""Metal"" else
if (Data2$SIC.Group[i] ==""14111"") Data2$RevisedSIC.Group [i]=""Stone"" else
if (Data2$SIC.Group[i] ==""10421"") Data2$RevisedSIC.Group [i]=""Stone"" }
</code></pre>
"
105,ValueError: setting an array element with a sequence. scipy minimize,"<pre><code>"""""" ___ """"""
from scipy.optimize import minimize
import numpy as np


LENGTH = 100

def process(x):
    return x * 2 + 5

def draw(process, length):
    """""" """"""
    y = np.random.normal(0, 10, length)
    data = [process(y_) for y_ in y]
    rnd = np.random.normal(3, 1, len(data))
    return y, rnd + data


def maximum_likelyhood(y, X):
    objective = lambda b: np.transpose(X) * (y - X * b)
    x0 = np.zeros(100)
    res =  minimize(objective, x0=x0)
    return res.x

y, X = draw(process, LENGTH)
print maximum_likelyhood(y, X)
</code></pre>

<p>produces a</p>

<pre><code>ValueError: setting an array element with a sequence.
</code></pre>

<p>There is several similar problems, they all point out that x0 is not a 1D array, but here it is a 1D array. (or not? in case please explain why and how to make it 1D)</p>
"
106,How do I replace excel that is too slow / runs out of resources? (complete noob),"<p>What I need to do is very simple. It's basic math calculations, finding the largest number in rows 1-100, 2-101, 3-102 (to a million), Finding the first number greater than X in row 1 all columns, row 2 all columns, ect.</p>

<p>The problem is the amount of data I have. It is a million rows. I have no experience with programming, except running websites before using php which is a little different. Unless I were to use php with mysql (if that is good) but I still don't know how to do that. </p>

<p>I'm seeking recommendations on what to do. Would using a CSV file and some programming language with it be good?</p>

<p>I know how to search online for how to do simple math. And it seems simple in programming languages. What I can't find out is how to join that knowledge with editing files. </p>

<p>I have searched online for ages and can't find a thing. I can find how to read files, and how to write to files. I can not find anything about how to read files, apply some math to it and write it elsewhere to the file or to some other file. </p>

<p>Any help / recommendations would be very helpful!</p>
"
107,What data stucture should I use for BigInt class,"<p>I would like to implement a BigInt class which will be able to handle really big numbers. I want only to add and multiply numbers, however the class should also handle negative numbers. </p>

<p>I wanted to represent the number as a string, but there is a big overhead with converting string to int and back for adding. I want to implement addition as on the high school, add corresponding order and if the result is bigger than 10, add the carry to next order. </p>

<p>Then I thought that it would be better to handle it as a array of unsigned long long int and keep the sign separated by bool. With this I'm afraid of size of the int, as C++ standard as far as I know guarantees only that int &lt; float &lt; double. Correct me if I'm wrong. So when I reach some number I should move in array forward and start adding number to the next array position. </p>

<p>Is there any data structure that is appropriate or better for this? Thanks in advance.</p>
"
108,Hypothesis testing approach,"<p>I have the following situation. I'm studying how malicious host on the internet choose their victims. I must discover if a number of host are acting an in independent way or not. I'm using an hypothesis testing approach:</p>

<ul>
<li>The null hypothesis is that the host scan the internet in a independent fashion</li>
<li>The alternative hypothesis is that they scan coordinately</li>
</ul>

<p>Stating that the first is true (independent scan) we can calculate the distribution of the number of destination ip addresses that receive no scanning.
My question is, given that distribution how can I prove that the host scan in an independent fashion? In particular, I am observing a certain number of ip addresses.
From this observation I can say what is the number of addresses that have not received any scanning. Using only that number and the given distribution can I use some type of test to prove the null hypothesis?</p>

<p>Another idea was to divide the addresses I'm observing in a series of groups and use the chi square goodness fit test. Do you think that this approach will be formally correct?</p>
"
109,numpy with multidimensional array,"<p>I have checked example which is wrapping c by using numpy.
there is two converting function( function for converting numpy to c,
function for converting c to numpy)
and they both use malloc function.
but if I do not use memory copy, how can I make the code? </p>

<pre><code>def matmul1(np.ndarray[DTYPE_t, ndim=2] a, np.ndarray[DTYPE_t, ndim=2]b):
    ''' Matrix multiplication. Takes two square Float32 numpy arrays.'''

    cdef int N = a.shape[0]
    cdef int i
    cdef float **a_c
    cdef float **b_c
    cdef float **res

    # check if square arrays:
    if a.shape[1] != N or b.shape[0] != N or b.shape[1] != N:
        raise ValueError, 'matmul1: need square arrays for multiplication!'

    # check if contiguous, if not force C contiguous arrays
    if not (&lt;object&gt;a).flags[""C_CONTIGUOUS""]:
        a = a.copy('C')
    if not (&lt;object&gt;b).flags[""C_CONTIGUOUS""]:
        b = b.copy('C')

    # convert using the function
    a_c = npy2c_float(a)
    b_c = npy2c_float(b)

    # allocate res
    res = &lt;float **&gt; malloc(N*sizeof(float*))
    for i in range(N):
        res[i] = &lt;float *&gt; malloc(N * sizeof(float))

    matmul(a_c,b_c,res,N)

    free(a_c)
    free(b_c)

    # convert to numpy array and free res
    result = c2npy_float(res,N,N)

    return result
</code></pre>
"
110,Maths help with exponentials,"<p>Evaluate</p>

<p>(z x^-1 y)^5 y^5</p>

<p>~~~~~~~~~~~~~~~~~~~~~~~ OVER</p>

<p>x^-4 z^-4</p>

<p>How would I evaluate this if X = 10, y = -3 and z = 3? I would like a step-by-step solution to help me fully understand it.</p>
"
